root_id,flow,super_class,class,sub_class,hemilineage,side,nerve,primary_type,nt_type
720575940604910270,intrinsic,central,,,putative_primary,right,,SMP152,ACH
720575940607237810,intrinsic,central,,,putative_primary,left,,CL356,ACH
720575940608082990,intrinsic,central,,,VLPl2_medial,left,,CL062_b,ACH
720575940609342020,intrinsic,central,,,CLp1_or_SLPpm2,left,,CL154,GLUT
720575940609979610,intrinsic,central,,,SLPad1_posterior,left,,SMP208,GLUT
720575940610486830,intrinsic,central,,,VPNl&d1_dorsal,right,,CB1912,ACH
720575940611246810,intrinsic,central,,,VESa1,left,,CB3547,GABA
720575940611403730,intrinsic,central,,,DM1_antero_ventral,left,,ATL030,
720575940612344690,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,right,,Li10,GLUT
720575940612534990,intrinsic,central,,,LHl2_ventral,left,,CB2402,GLUT
720575940613795880,intrinsic,central,,,VLPl4_dorsal,right,,PLP003,GABA
720575940613998790,intrinsic,central,,,VLPl2_medial,right,,AVLP194_c,ACH
720575940614677410,intrinsic,central,,,VLPd&p1_posterior,left,,SLP327,ACH
720575940615512130,intrinsic,central,LHLN,,LHp1,left,,CB2786,GLUT
720575940617327590,intrinsic,central,ALLN,,ALv2,right,,CB3172,GLUT
720575940617552340,intrinsic,central,MBON,,putative_primary,right,,MBON02,GABA
720575940617755220,intrinsic,central,,,putative_primary,right,,CB0579,ACH
720575940620231590,efferent,descending,,,MX3,left,CV,DNge088,GLUT
720575940620685750,intrinsic,central,,,SLPad1_anterior,right,,CB3605,ACH
720575940621743860,intrinsic,central,,,LHl1,left,,CB3761,GLUT
720575940622235930,efferent,motor,brain_motor_neuron,antennal_motor_neuron,putative_primary,right,AN,CB0723,
720575940622661820,intrinsic,central,,,VLPl1_or_VLPl5,left,,CB3366,ACH
720575940622871540,intrinsic,central,,,putative_primary,right,,PLP247,
720575940623439850,intrinsic,central,,,DM6_posterior,left,,CB2652,GLUT
720575940623837880,intrinsic,central,,,DM4_dorsal,left,,CB3136,ACH
720575940624746940,intrinsic,central,mAL,,CREa1_ventral,right,,mAL6,GABA
720575940625334970,intrinsic,central,,,putative_primary,right,,CL359,ACH
720575940626132030,intrinsic,central,,,SLPal1,left,,LHAD1f4c,GLUT
720575940626160740,intrinsic,central,,,LHd1,left,,CB3124,ACH
720575940626693130,intrinsic,central,,,VLPl2_medial,right,,PS057,GLUT
720575940626829840,intrinsic,central,mAL,,CREa1_ventral,left,,mAL_f4,GABA
720575940627833860,intrinsic,central,,,VPNl&d1_dorsal,left,,CB2051,ACH
720575940628257730,intrinsic,central,,,DM5_ventral,right,,WED164b,ACH
720575940628862330,intrinsic,central,,,DM6_dorso_lateral,left,,SIP069,ACH
720575940629066770,intrinsic,central,,,VLPl&d1_lateral,left,,CB3184,ACH
720575940629186170,intrinsic,central,,,VLPp1,right,,AVLP548_d,GLUT
720575940630036240,intrinsic,central,,,DM3_dorso_lateral,left,,SMP317b,ACH
720575940630244060,efferent,descending,,,MX12__prim,right,CV,DNg33,
720575940631248940,intrinsic,central,,,VLPl&p2_lateral,left,,CB0763,ACH
720575940631532140,intrinsic,central,,,LALv1_ventral,left,,CB1342,
720575940632037260,afferent,sensory,mechanosensory,auditory,,right,AN,JO-B,
720575940632363420,intrinsic,central,,,VPNp&v1_posterior,left,,PLP158,GABA
720575940632559820,intrinsic,central,,,DL1_dorsal,left,,LHPV5b2,ACH
720575940633567900,intrinsic,central,,,LALa1_anterior,left,,CB3879,GABA
720575940633996700,intrinsic,central,,,LHl2_ventral,right,,CB1116,GLUT
720575940636006000,intrinsic,central,,,TRdl_b,left,,CB2864,ACH
720575940636571310,intrinsic,central,Kenyon_Cell,,MBp3,left,,KCab-p,ACH
720575940636844870,intrinsic,central,,,SMPpv2_ventral,left,,VES065,ACH
720575940637980750,intrinsic,central,,,putative_primary,left,,AVLP219b,
720575940639075150,intrinsic,central,DAN,,CREa2_medial,left,,PAM10,DA
720575940644696430,intrinsic,central,,,VLPp&l1_anterior,right,,PVLP104,GABA
720575940645670020,intrinsic,central,,,WEDa2,left,,WEDPN3,GABA
720575940646852660,intrinsic,central,DAN,,putative_primary,right,,PPL203,DA
720575940647472260,intrinsic,central,LHLN,,LHp1,left,,LHPV4a2,GLUT
720575940607573001,intrinsic,central,,,putative_primary,right,,CB0828,GLUT
720575940610501571,intrinsic,central,,,VLPa1_lateral,right,,AVLP283,ACH
720575940610960021,afferent,ascending,AN,AN_multi,,left,CV,AN_multi_118,ACH
720575940613623961,intrinsic,central,,,SLPav1_medial,left,,LHAV3e2,ACH
720575940613707431,intrinsic,central,,,VLPl&p2_lateral,right,,AVLP143a,ACH
720575940614840891,intrinsic,central,,,ALl1_ventral,left,,CB1542,ACH
720575940615537041,afferent,ascending,AN,AN_AVLP_GNG,,right,CV,AN_AVLP_GNG_4,ACH
720575940615749051,intrinsic,central,,,SLPav3,right,,CB3762,GLUT
720575940617190361,intrinsic,central,,,putative_primary,right,,CB0529,ACH
720575940617918091,afferent,ascending,AN,AN_multi,,left,CV,AN_multi_128,ACH
720575940618072891,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,,Mi4,GABA
720575940618330041,intrinsic,central,,,putative_primary,left,,AVLP498,ACH
720575940619730091,intrinsic,central,,,LHa1,left,,SLP114,ACH
720575940620610881,intrinsic,central,,,SLPal3_and_SLPal4_dorsal,right,,CB1152,GLUT
720575940621528191,intrinsic,central,,,SLPp&v1_posterior,left,,LHPV4c4,GLUT
720575940622259811,afferent,ascending,AN,AN_GNG_PRW,,left,CV,AN_GNG_LAL_1,ACH
720575940622629011,intrinsic,central,,,VLPl&p1_posterior,right,,CB1897,ACH
720575940622853011,afferent,sensory,gustatory,low-salt,,right,MxLbN,LB2a-b,
720575940623118261,intrinsic,central,,,SLPpm3,left,,CB2592,ACH
720575940624515571,intrinsic,central,ALPN,uniglomerular,ALlv1,left,,VC5_lvPN,ACH
720575940626433881,intrinsic,central,,,DM5_central,right,,SAD085,ACH
720575940627180561,intrinsic,central,,,VLPl1_or_VLPl5,right,,CB0956,ACH
720575940627203461,intrinsic,central,,,putative_primary,right,,SIP081,ACH
720575940627641841,intrinsic,central,,,DM6_dorso_lateral,left,,CB1831,ACH
720575940628188471,intrinsic,central,,,LHl2_ventral,left,,CB1116,GLUT
720575940628240521,intrinsic,central,,,LHl2_ventral,left,,CB2342,GLUT
720575940628916791,intrinsic,central,,,putative_primary,right,,CL344,DA
720575940629602871,intrinsic,central,,,VLPl&p2_posterior,left,,PVLP122b,ACH
720575940629666971,intrinsic,visual_centrifugal,ocellar,,,left,,OCC02a,GLUT
720575940630302551,intrinsic,central,,,VLPl2_medial,left,,AVLP434_b,ACH
720575940630329411,intrinsic,central,,,SLPal2,left,,CB1923,
720575940630448431,intrinsic,central,,,DM5_central,left,,CB3098,ACH
720575940632017121,intrinsic,central,,,DM6_posterior,right,,CB2462,GLUT
720575940632305711,intrinsic,central,,,putative_primary,left,,CB0487,GABA
720575940633364831,intrinsic,central,,,VLPl1_or_VLPl5,right,,CB1575,ACH
720575940634289771,intrinsic,central,,,VLPl&d1_lateral,right,,CB1109,ACH
720575940635001881,intrinsic,central,,,DM4_dorsal,left,,SMP408_b,ACH
720575940635138911,intrinsic,central,,,VLPp&l1_anterior,left,,LHPV2e1_a,GABA
720575940635534271,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,,T5b,ACH
720575940636033001,intrinsic,central,,,VLPl2_medial,right,,AVLP194_b,ACH
720575940636111081,intrinsic,central,,,VLPl&p2_lateral,right,,CB3006,ACH
720575940638061631,intrinsic,central,,,putative_primary,left,,SMP054,GABA
720575940638094911,efferent,descending,,,LB7,right,CV,DNge091,
720575940639574261,intrinsic,central,,,VLPl&d1_dorsal,right,,AVLP227,ACH
720575940641948661,intrinsic,visual_projection,,,VLPp&l1_lateral,right,,LC40,ACH
720575940642412941,intrinsic,central,,,ALl1_ventral,right,,CB1542,ACH
720575940643311501,intrinsic,central,DAN,,CREa1_dorsal,left,,PAM10,DA
720575940650635641,intrinsic,central,,,DM6_dorso_lateral,left,,SMP373,ACH
720575940661335681,intrinsic,central,,,MX12__prim,left,,CB0180,GABA
720575940608321922,afferent,ascending,AN,AN_GNG,,left,CV,AN_GNG_112,ACH
720575940608889902,intrinsic,central,,,WEDa2,left,,WEDPN2A,GABA
720575940612794902,intrinsic,central,LHLN,,LHd2,left,,CB0311,GLUT
720575940612843542,intrinsic,central,,,SMPp&v1_posterior,left,,CL182,GLUT
720575940614543682,intrinsic,central,,,DM6_dorso_lateral,left,,CB1831,ACH
720575940615953202,intrinsic,central,DAN,,putative_primary,left,,PPL107,DA
720575940616204352,intrinsic,central,,,DL1_dorsal,right,,SLP246,ACH
720575940617501652,intrinsic,central,,,SLPal2,left,,LHAD1a4a,ACH
720575940617604582,intrinsic,central,,,DM2_or_DM3_posterior,left,,CL231,GLUT
720575940618393812,intrinsic,central,,,LHp2,left,,CB3173,ACH
720575940618594022,efferent,descending,,,PSp3,left,CV,DNp42,ACH
720575940619439792,intrinsic,central,Kenyon_Cell,,MBp2,left,,KCab,ACH
720575940620037312,intrinsic,central,,,putative_primary,right,,CB0446,GLUT
720575940620463732,afferent,ascending,AN,AN_multi,,right,CV,AN_multi_113,ACH
720575940620508912,intrinsic,central,,,VLPl&p2_posterior,left,,CB1140,ACH
720575940622026662,intrinsic,central,,,SMPp&v1_posterior,right,,CL180,GLUT
720575940622168052,efferent,motor,brain_motor_neuron,eye_motor_neuron,putative_primary,right,AN,CB0901,ACH
720575940622367112,intrinsic,central,,,VLPa2,right,,PVLP048,GABA
720575940622753172,intrinsic,central,,,WEDd1,left,,WEDPN14,ACH
720575940623314312,intrinsic,central,,,putative_primary,right,,CB0872,ACH
720575940623377802,intrinsic,central,MBON,,DL1_dorsal,left,,MBON16,ACH
720575940623615502,intrinsic,central,,,AOTUv3_dorsal,left,,SMP017,ACH
720575940623972792,intrinsic,central,,,SMPpd2,left,,SMP540,GLUT
720575940624206472,intrinsic,central,ALIN,,putative_primary,right,,AL-MBDL1,
720575940624305642,intrinsic,central,,,VPNp&v1_posterior,left,,WEDPN6A,GABA
720575940624344072,intrinsic,central,,,SMPp&v1_posterior,left,,SMP549,ACH
720575940624788372,intrinsic,central,,,LB11,right,,CB3714,ACH
720575940624873452,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,,Tm7,ACH
720575940625263802,intrinsic,central,,,DM3_dorso_lateral,left,,SMP326b,ACH
720575940625826352,intrinsic,central,LHLN,,LHl1,left,,CB2854,GLUT
720575940626086842,intrinsic,central,,,putative_primary,right,,CB0175,GLUT
720575940627796012,intrinsic,central,,,VLPd&p1_posterior,left,,SIP047a,ACH
720575940627921162,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,,TmY5a,GLUT
720575940627993752,intrinsic,central,,,SMPpm1,left,,CL205,ACH
720575940628168642,intrinsic,central,,,VESa2,right,,CB2583,GABA
720575940628818492,intrinsic,central,,,SLPp&v1_posterior,left,,LHPV4b3,GLUT
720575940629129472,intrinsic,central,Kenyon_Cell,,MBp3,left,,KCab,ACH
720575940629377132,intrinsic,central,,,putative_primary,left,,LAL112,GABA
720575940630005802,intrinsic,central,,,DM6_posterior,right,,CB1767,GLUT
720575940634483552,intrinsic,optic,optic_lobe_intrinsic,y_neuron,,left,,Y3,ACH
720575940635280632,intrinsic,central,,,LHa3,left,,CB1240,ACH
720575940636699822,intrinsic,central,,,LHd2,left,,LHPD3c1,GLUT
720575940637274852,intrinsic,central,,,putative_primary,left,,VES046,GLUT
720575940637907312,intrinsic,central,,,VPNp1_medial,left,,PVLP133,ACH
720575940644682952,intrinsic,visual_projection,,,,left,,MTe27,ACH
720575940647060532,intrinsic,central,,,putative_primary,right,,CB0051,ACH
720575940651713782,intrinsic,central,,,VLPl&p1_posterior,right,,CB1877,ACH
720575940608557323,intrinsic,central,,,putative_primary,right,,CB0483,
720575940609019093,afferent,ascending,AN,AN_GNG,,right,CV,AN_GNG_31,
720575940611300323,intrinsic,central,,,VLPl&p2_posterior,left,,AVLP517,ACH
720575940611990243,intrinsic,visual_projection,,,,right,,LCe09,ACH
720575940613304883,afferent,sensory,mechanosensory,auditory,,right,AN,JO-A,ACH
720575940614579423,intrinsic,central,,,LALa1_anterior,left,,AVLP252,GABA
720575940614859893,intrinsic,central,mAL,,CREa1_ventral,left,,mAL_f3,GABA
720575940615660033,afferent,ascending,AN,AN_GNG,,left,CV,AN_GNG_192,GLUT
720575940616104123,intrinsic,central,,,AOTUv2,left,,LHAV7a1a,GLUT
720575940617300573,intrinsic,central,,,putative_primary,left,,CL136,ACH
720575940617556153,afferent,ascending,AN,AN_multi,,right,CV,AN_multi_32,
720575940617883003,intrinsic,visual_projection,,,,left,,LT75,ACH
720575940618628443,intrinsic,central,,,AOTUv3_dorsal,left,,AOTU008c,ACH
720575940619079803,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,,Tm5d,GLUT
720575940619820373,intrinsic,central,,,AOTUv3_dorsal,left,,AOTU024,ACH
720575940620062633,intrinsic,central,,,LHl1,right,,CB1614,GABA
720575940621385893,intrinsic,central,,,LHl2_dorsal,left,,SLP128,ACH
720575940622108933,intrinsic,central,,,MD3,right,,CB2162,
720575940623072013,intrinsic,visual_centrifugal,,,putative_primary,right,,LT37,GABA
720575940623124813,intrinsic,central,,,VESa2,left,,CB1087,GABA
720575940623465963,intrinsic,central,,,DL2_dorsal,left,,SMP188,ACH
720575940623557373,intrinsic,central,,,WEDa2,left,,WEDPN2A,GABA
720575940623932413,intrinsic,central,,,CLp2,right,,CB1807,GLUT
720575940624009653,intrinsic,central,LHLN,,SLPpm1,left,,CB1134,GLUT
720575940624424013,intrinsic,central,,,putative_primary,right,,AVLP219c,ACH
720575940624589543,intrinsic,central,,,SLPa&l1_anterior,left,,CL071a,ACH
720575940624679463,efferent,motor,brain_motor_neuron,neck_motor_neuron,LB12__prim,left,CV,CB0706,
720575940626869593,intrinsic,central,,,VLPl2_medial,left,,AVLP187,ACH
720575940628082053,intrinsic,visual_centrifugal,,,putative_primary,right,,LT42,GABA
720575940628091803,intrinsic,central,,,DM3_dorso_lateral,right,,SMP317a,ACH
720575940628097423,intrinsic,central,,,SLPa&l1_lateral,right,,PLP036,GLUT
720575940628675433,intrinsic,central,ALIN,,putative_primary,left,,ALIN8,ACH
720575940628686423,afferent,ascending,AN,AN_AVLP,,right,CV,AN_AVLP_48,ACH
720575940629009513,intrinsic,central,ALPN,uniglomerular,ALad1,right,,VA3_adPN,ACH
720575940629620803,intrinsic,central,,,DM4_dorsal,left,,SMP408_c,ACH
720575940630339403,intrinsic,central,,,SLPal2,left,,LHAD1a2,ACH
720575940630447353,intrinsic,central,,,DL1_ventral,left,,CL270b,ACH
720575940630683383,intrinsic,central,,,putative_primary,right,,AVLP534,ACH
720575940630738463,intrinsic,central,,,putative_primary,left,,CRE007,GLUT
720575940631226363,intrinsic,central,,,putative_primary,left,,PLP216,GABA
720575940635326063,intrinsic,central,,,SLPa&l1_anterior,left,,AVLP214,ACH
720575940636479863,efferent,descending,,,putative_primary,left,CV,DNpe013,ACH
720575940640486973,intrinsic,central,CX,tangential,DL1_dorsal,left,,FB6A,GLUT
720575940643255693,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,left,,Li27,GLUT
720575940650262393,intrinsic,visual_centrifugal,,,putative_primary,left,,cL04,ACH
720575940660176513,intrinsic,central,,,LHa1,left,,CB3023,ACH
720575940603739104,intrinsic,central,,,DM6_dorso_lateral,left,,CB2214,ACH
720575940607197874,intrinsic,central,,,VPNp1_medial,left,,LHPV3a2,ACH
720575940610232274,intrinsic,central,,,TRdm,left,,CB0110,GLUT
720575940610916194,intrinsic,central,,,FLAa3,left,,CB0575,ACH
720575940611182554,intrinsic,central,,,CREa2_ventral,left,,CB2544,ACH
720575940611374554,intrinsic,central,,,LB5,right,,CB0555,GABA
720575940611886554,intrinsic,visual_projection,,,VPNp3,left,,LC21,ACH
720575940612111894,intrinsic,central,,,DM3_dorso_lateral,right,,SMP331c,ACH
720575940612504434,intrinsic,central,LHLN,,LHl4_dorsal,left,,CB2387,GLUT
720575940614830604,afferent,sensory,mechanosensory,,,right,AN,JO-mz,ACH
720575940615183814,intrinsic,central,,,VLPl1_or_VLPl5,right,,AVLP348,ACH
720575940615892374,intrinsic,central,,,VLPp&l1__prim,left,,AVLP575,ACH
720575940615966314,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,,TmY4,ACH
720575940616112724,intrinsic,central,,,VLPp2,left,,CB2271,ACH
720575940616766294,intrinsic,central,,,LHl1,left,,CB1003,GLUT
720575940617582164,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,,Tm8a,ACH
720575940618812654,intrinsic,central,,,VLPl2_medial,right,,CB3561,ACH
720575940619522974,intrinsic,central,,,putative_primary,left,,CL200,ACH
720575940620441024,intrinsic,central,ALPN,,ALv1,right,,Z_vPNml1,GABA
720575940620763584,intrinsic,central,,,putative_primary,right,,PVLP115,ACH
720575940620867254,intrinsic,central,,,LALv1_ventral,left,,CB1342,GABA
720575940621961904,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,right,,Li12,GLUT
720575940622183194,intrinsic,central,,,putative_primary,left,,CB0478,ACH
720575940623455684,intrinsic,central,,,putative_primary,left,,CB0828,GLUT
720575940624154604,efferent,descending,,,LB6,right,CV,DNge087,GABA
720575940624202424,intrinsic,central,,,AOTUv4_dorsal,right,,CB1591,ACH
720575940624247334,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,,TmY4,ACH
720575940625336464,intrinsic,central,,,DM1_antero_ventral,right,,LAL131a,
720575940625770554,intrinsic,central,,,SMPpd1,left,,CB3779,ACH
720575940626623754,intrinsic,central,,,SLPpl1,left,,SMP215b,GLUT
720575940626679824,intrinsic,central,,,putative_primary,right,,AVLP219a,SER
720575940626885124,intrinsic,central,,,VLPl2_medial,left,,CL062_a,ACH
720575940627346434,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,,Tm3,ACH
720575940627867464,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,,Mi4,GABA
720575940628306114,intrinsic,central,,,MX12__prim,left,,CB0596,GLUT
720575940630340474,intrinsic,central,ALLN,,ALv2,right,,vLN25,GLUT
720575940631065874,intrinsic,central,,,putative_primary,left,,PLP252,GLUT
720575940631292204,intrinsic,central,,,VLPl&p2_lateral,left,,CB1724,ACH
720575940632098204,intrinsic,central,,,SLPpl3,left,,CB1341,GLUT
720575940632921144,intrinsic,visual_projection,,,,left,,MTe51,ACH
720575940634762394,intrinsic,central,,,VLPl2_medial,left,,CB2057,ACH
720575940635450254,intrinsic,central,,,VLPl&p2_lateral,right,,CB3598,ACH
720575940637732954,intrinsic,central,,,DM4_dorsal,left,,SMP408_b,ACH
720575940638149744,intrinsic,central,ALPN,multiglomerular,ALlv1,left,,VP1m+_lvPN,GLUT
720575940638721094,intrinsic,central,,,putative_primary,left,,CL288,GABA
720575940639245264,intrinsic,central,,,DM6_posterior,right,,CB2670,GLUT
720575940639360384,intrinsic,central,,,VLPl2_medial,left,,AVLP161,ACH
720575940640521304,intrinsic,central,,,VLPa2,left,,CB2254,GABA
720575940644585764,intrinsic,central,,,VLPl&d1_dorsal,left,,AVLP235,ACH
720575940607337155,intrinsic,central,Kenyon_Cell,,MBp2,right,,KCab,ACH
720575940608606475,intrinsic,central,,,SLPal1,left,,CB1150,GLUT
720575940611740565,intrinsic,central,,,DM3_dorso_lateral,left,,SMP313,ACH
720575940611881135,intrinsic,central,,,DL1_ventral,left,,SMP578,GABA
720575940612105395,intrinsic,central,,,VLPl1_or_VLPl5,right,,CB1460,ACH
720575940612991205,intrinsic,visual_projection,,,VPNd2,left,,LC10c,ACH
720575940616617245,intrinsic,central,CX,columnar,DM2_CX_d2,right,,FC2C,ACH
720575940616702465,intrinsic,central,,,DM1_antero_ventral,right,,LAL131b,
720575940616946065,intrinsic,central,,,DM6_central2,right,,CL322,ACH
720575940618720635,intrinsic,central,,,VLPp&l1_anterior,right,,PLP084,GABA
720575940619621285,intrinsic,central,,,SLPad1_anterior,left,,SLP467a,ACH
720575940619670465,intrinsic,central,,,LHl2_ventral,left,,CB2342,GLUT
720575940620499115,intrinsic,central,LHCENT,,SLPpm1,left,,LHCENT12b,GLUT
720575940621810415,intrinsic,central,,,DM4_dorsal,left,,SMP408_c,ACH
720575940622998115,afferent,sensory,mechanosensory,auditory,,right,AN,JO-B,
720575940623792055,intrinsic,central,DAN,,CREa1_dorsal,left,,PAM10,DA
720575940624506515,intrinsic,central,,,VLPl&p2_posterior,right,,AVLP517,ACH
720575940624775975,intrinsic,central,,,putative_primary,left,,LHPD2d2,GLUT
720575940624817845,intrinsic,central,,,VLPa1_lateral,right,,AVLP303,ACH
720575940625243155,intrinsic,central,,,DM6_posterior,left,,CB2459,GLUT
720575940625429385,intrinsic,central,,,CLp2,left,,CB1054,GLUT
720575940625801415,intrinsic,central,,,LHl1,right,,CB1399,GABA
720575940626630735,intrinsic,central,,,SLPal1,left,,SLP007b,GLUT
720575940626703705,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,,TmY10,ACH
720575940627157525,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,,Tm5e,GLUT
720575940627692565,intrinsic,central,,,SLPal3_and_SLPal4_dorsal,right,,LHAV6g1,GLUT
